id,latitude,longitude,time,magnitude,mc_current
303,38.50008,-112.88314,2024-04-04 04:16:18.903,-0.66,-1.0
304,38.50119,-112.88397,2024-04-04 04:18:02.418,-0.9,-1.0
305,38.50082,-112.88296,2024-04-04 04:19:49.357,-0.94,-1.0
306,38.49962,-112.88331,2024-04-04 04:23:45.457,-0.46,-1.0
307,38.49947,-112.88449,2024-04-04 04:24:26.714,-0.27,-1.0
308,38.5008,-112.883,2024-04-04 04:37:04.248,-0.65,-1.0
309,38.50104,-112.88396,2024-04-04 04:42:39.883,-0.52,-1.0
310,38.50144,-112.88286,2024-04-04 04:43:42.114,-0.53,-1.0
311,38.49966,-112.88339,2024-04-04 04:53:49.360,-0.9,-1.0
312,38.4998,-112.88337,2024-04-04 05:03:54.725,-0.41,-1.0
313,38.49926,-112.88337,2024-04-04 05:04:49.720,-0.64,-1.0
314,38.49943,-112.88354,2024-04-04 05:04:58.228,-0.51,-1.0
315,38.49933,-112.88354,2024-04-04 05:17:22.493,-0.59,-1.0
316,38.5023,-112.88269,2024-04-04 05:18:44.000,0.09,-1.0
317,38.50109,-112.88389,2024-04-04 05:28:59.976,-0.87,-1.0
318,38.50291,-112.8826,2024-04-04 05:33:40.749,-0.94,-1.0
319,38.50144,-112.88286,2024-04-04 05:36:57.307,-0.92,-1.0
320,38.49959,-112.88312,2024-04-04 05:45:06.602,-0.21,-1.0
321,38.50144,-112.88286,2024-04-04 05:48:06.181,-0.19,-1.0
322,38.50049,-112.88295,2024-04-04 05:53:28.967,-0.78,-1.0
323,38.49939,-112.88353,2024-04-04 05:58:24.263,-0.9,-1.0
324,38.50297,-112.88252,2024-04-04 06:04:36.315,-0.71,-1.0
325,38.50117,-112.88413,2024-04-04 06:10:09.737,-0.74,-1.0
326,38.49925,-112.88356,2024-04-04 06:20:19.654,-0.98,-1.0
327,38.49927,-112.88349,2024-04-04 06:21:12.668,-0.66,-1.0
328,38.50306,-112.88289,2024-04-04 06:26:40.491,-0.49,-1.0
329,38.5026,-112.88278,2024-04-04 06:29:38.927,-0.96,-1.0
330,38.49898,-112.88362,2024-04-04 06:36:55.647,-0.26,-1.0
331,38.49918,-112.88356,2024-04-04 06:50:31.231,-0.89,-1.0
332,38.5027,-112.88256,2024-04-04 06:56:27.565,-0.74,-1.0
333,38.50115,-112.88417,2024-04-04 06:59:39.889,-0.54,-1.0
334,38.49933,-112.88354,2024-04-04 07:01:23.774,-0.42,-1.0
335,38.49929,-112.88356,2024-04-04 07:06:42.684,-0.88,-1.0
336,38.50298,-112.88262,2024-04-04 07:07:57.582,0.21,-1.0
337,38.50087,-112.88385,2024-04-04 07:11:06.238,-0.87,-1.0
338,38.50087,-112.88379,2024-04-04 07:12:33.622,-0.78,-1.0
339,38.50076,-112.88395,2024-04-04 07:15:14.117,0.11,-1.0
340,38.50104,-112.88396,2024-04-04 07:18:01.676,-0.23,-1.0
341,38.50087,-112.88382,2024-04-04 07:19:47.281,-0.84,-1.0
342,38.50087,-112.88382,2024-04-04 07:20:39.948,-0.89,-1.0
343,38.5011,-112.88393,2024-04-04 07:21:38.609,-0.01,-1.0
344,38.5014,-112.88404,2024-04-04 07:23:38.740,-0.49,-1.0
345,38.50101,-112.88396,2024-04-04 07:25:30.159,-0.75,-1.0
346,38.50277,-112.88273,2024-04-04 07:25:46.045,0.28,-1.0
347,38.50169,-112.88362,2024-04-04 07:26:01.390,-0.78,-1.0
348,38.50302,-112.88256,2024-04-04 07:26:09.588,-0.96,-1.0
349,38.50082,-112.88398,2024-04-04 07:26:33.127,-0.94,-1.0
350,38.50288,-112.88255,2024-04-04 07:27:48.645,-0.73,-1.0
351,38.5015,-112.88389,2024-04-04 07:28:01.769,-0.89,-1.0
352,38.50117,-112.88408,2024-04-04 07:28:24.694,-0.77,-1.0
353,38.50287,-112.88252,2024-04-04 07:28:28.754,-0.98,-1.0
354,38.49947,-112.88449,2024-04-04 07:28:32.359,-0.87,-1.0
