id,latitude,longitude,time,magnitude
206,38.842958,-122.824772,2010-12-20 18:12:57.599997,1.39
207,38.838073,-122.828236,2010-12-25 00:07:12.000000,1.92
208,38.839734,-122.829062,2010-12-30 14:58:33.599996,1.45
209,38.838504,-122.828908,2010-12-30 23:18:14.400002,1.89
210,38.836881,-122.827466,2011-01-07 09:51:50.399997,2.25
211,38.845888,-122.826308,2011-01-09 10:04:48.000004,1.92
212,38.841188,-122.828132,2011-01-13 12:38:52.800000,2.09
213,38.841642,-122.825849,2011-01-19 06:54:43.199995,1.8
214,38.838381,-122.828395,2011-02-02 11:11:02.400001,1.41
215,38.840863,-122.830945,2011-02-02 23:34:04.799997,2.37
216,38.840375,-122.825254,2011-02-03 00:57:36.000003,1.56
217,38.838587,-122.828797,2011-02-03 06:37:26.399996,1.83
218,38.841857,-122.82303,2011-02-03 09:12:57.599997,1.53
219,38.839461,-122.828746,2011-02-05 05:55:40.799998,2.18
220,38.841644,-122.8247,2011-02-06 08:05:16.800005,2.17
221,38.837716,-122.828206,2011-02-07 00:31:40.800000,1.4
222,38.842128,-122.829108,2011-02-07 10:33:35.999995,2.01
223,38.843713,-122.825334,2011-02-07 11:39:50.400003,1.68
224,38.844653,-122.826543,2011-02-09 17:00:57.600003,1.42
225,38.838065,-122.828584,2011-02-12 22:55:11.999996,1.41
226,38.838924,-122.828924,2011-02-13 21:12:57.599997,2.47
227,38.838461,-122.829083,2011-02-13 21:28:48.000002,1.53
228,38.843141,-122.825132,2011-02-15 09:54:43.199995,1.58
229,38.838612,-122.827785,2011-02-16 21:43:12.000002,1.59
230,38.842176,-122.825082,2011-02-17 09:51:50.399997,2.09
231,38.838718,-122.828353,2011-02-19 11:03:50.400001,1.95
232,38.837936,-122.828084,2011-02-22 04:03:21.600000,2.14
233,38.843354,-122.825024,2011-02-23 05:58:33.599996,1.93
234,38.838206,-122.826066,2011-02-23 22:10:33.600000,1.38
235,38.836619,-122.828182,2011-02-24 23:29:45.600004,1.77
236,38.842418,-122.829487,2011-02-25 01:09:07.199996,1.4
237,38.841789,-122.827172,2011-03-01 18:05:45.599996,1.6
238,38.838097,-122.829346,2011-03-02 16:43:40.800004,1.68
239,38.838825,-122.828833,2011-03-04 02:41:16.799997,1.58
240,38.842926,-122.827309,2011-03-05 00:57:36.000003,1.61
241,38.843139,-122.827902,2011-03-08 03:23:02.399995,1.39
242,38.838516,-122.828734,2011-03-08 10:17:45.600000,1.39
243,38.843974,-122.825845,2011-03-10 03:41:45.599998,1.39
244,38.838773,-122.828397,2011-03-10 11:34:04.799997,1.39
245,38.836358,-122.828523,2011-03-11 12:07:12.000000,1.37
246,38.839031,-122.825822,2011-03-12 04:26:24.000005,1.56
247,38.836647,-122.828022,2011-03-13 18:04:19.200002,1.4
248,38.842821,-122.823326,2011-03-14 05:34:04.799997,1.42
249,38.843007,-122.827907,2011-03-14 23:12:28.799995,1.41
250,38.838731,-122.825271,2011-03-15 06:17:16.799999,2.74
251,38.839448,-122.826572,2011-03-15 07:06:14.399998,1.83
252,38.83961,-122.826848,2011-03-15 07:13:26.399998,2.13
253,38.838805,-122.829462,2011-03-17 08:34:04.799997,1.75
254,38.837115,-122.827388,2011-03-19 14:55:40.799998,1.4
255,38.838538,-122.82768,2011-03-19 16:53:45.600002,1.57
256,38.838202,-122.827737,2011-03-23 11:48:28.799997,1.37
257,38.842131,-122.827812,2011-03-28 04:26:24.000005,1.77
258,38.842923,-122.825316,2011-03-28 11:09:35.999997,1.71
259,38.842897,-122.824517,2011-03-28 11:41:16.799997,1.38
260,38.837405,-122.827973,2011-03-29 19:27:50.399999,1.4
261,38.838983,-122.827761,2011-03-30 16:35:02.399999,2.52
262,38.844165,-122.825504,2011-03-31 09:30:14.399996,1.77
263,38.841796,-122.828553,2011-04-03 20:44:09.599995,1.37
264,38.84149,-122.829691,2011-04-07 05:08:09.600003,2.26
265,38.840955,-122.825231,2011-04-08 05:19:40.799996,1.71
266,38.842492,-122.827458,2011-04-11 05:19:40.799996,2.0
267,38.843034,-122.824551,2011-04-12 05:38:23.999999,1.4
268,38.839593,-122.82917,2011-04-15 22:23:31.199997,1.55
269,38.837723,-122.828619,2011-04-18 10:09:07.199996,2.67
270,38.836573,-122.83097,2011-04-18 10:20:38.399998,1.46
271,38.839289,-122.829165,2011-04-18 11:25:26.400002,1.49
272,38.844233,-122.825395,2011-04-19 02:21:07.200000,1.83
273,38.841361,-122.825214,2011-04-20 00:08:38.400005,2.29
274,38.841936,-122.824892,2011-04-20 00:08:38.400005,2.0
275,38.842895,-122.824861,2011-04-20 10:09:07.199996,1.57
276,38.845318,-122.824357,2011-04-21 03:44:38.399996,1.65
277,38.843903,-122.824516,2011-04-27 10:40:47.999996,1.39
278,38.843252,-122.827205,2011-05-01 22:37:55.199997,1.57
279,38.843332,-122.82934,2011-05-02 08:36:57.600005,1.92
280,38.843464,-122.828934,2011-05-02 08:41:16.799997,1.55
281,38.843408,-122.827849,2011-05-04 23:54:14.400004,1.41
282,38.843516,-122.828193,2011-05-04 23:55:40.799998,1.39
283,38.843441,-122.828421,2011-05-05 00:40:19.200004,1.51
284,38.84337,-122.828113,2011-05-05 00:41:45.599998,1.7
285,38.843136,-122.828407,2011-05-05 01:07:40.800002,1.57
286,38.840388,-122.828572,2011-05-05 02:15:21.600004,1.39
287,38.838804,-122.829817,2011-05-05 11:22:33.600004,1.49
288,38.837456,-122.827518,2011-05-06 23:03:50.400001,1.87
289,38.837833,-122.827877,2011-05-07 05:16:47.999998,1.48
290,38.842779,-122.826919,2011-05-10 10:10:33.600000,1.48
291,38.837341,-122.827957,2011-05-13 14:15:21.600004,1.61
292,38.843622,-122.825993,2011-05-14 13:37:55.199997,1.57
293,38.839785,-122.825885,2011-05-15 03:24:28.799999,1.84
294,38.844563,-122.825674,2011-05-17 17:47:02.400003,1.58
295,38.838583,-122.828137,2011-05-18 06:15:50.400005,1.45
296,38.841625,-122.825145,2011-05-18 09:04:19.200002,1.89
297,38.841783,-122.824937,2011-05-18 09:04:19.200002,1.56
298,38.841584,-122.825189,2011-05-18 09:05:45.599996,1.76
299,38.843075,-122.827093,2011-05-18 23:51:21.599995,1.4
300,38.841872,-122.825088,2011-05-19 21:31:40.800000,1.99
301,38.843703,-122.825801,2011-05-21 00:25:55.200003,1.83
302,38.840665,-122.82886,2011-05-22 06:01:26.400004,1.92
303,38.840102,-122.828508,2011-05-22 06:02:52.799998,1.66
304,38.836356,-122.827203,2011-05-22 14:42:43.200001,1.58
305,38.841724,-122.827694,2011-05-30 20:55:40.799998,1.37
306,38.838982,-122.829022,2011-05-31 01:20:38.399998,2.02
307,38.844773,-122.825212,2011-06-02 06:48:57.599999,1.55
308,38.843332,-122.825969,2011-06-02 08:22:33.600004,1.5
309,38.838407,-122.827702,2011-06-03 22:59:31.199999,1.83
310,38.837438,-122.829498,2011-06-04 11:57:07.200002,2.28
311,38.838304,-122.829332,2011-06-04 14:02:23.999997,1.37
312,38.842106,-122.823205,2011-06-04 17:31:11.999998,1.4
313,38.837107,-122.830369,2011-06-04 19:29:16.800003,1.41
314,38.840655,-122.826621,2011-06-07 21:08:38.400005,1.77
315,38.839481,-122.829338,2011-06-10 05:05:16.800005,1.94
316,38.84415,-122.82701,2011-06-10 22:43:40.800004,2.27
317,38.837421,-122.831329,2011-06-12 15:12:57.599997,1.58
318,38.83895,-122.827892,2011-06-13 10:26:24.000005,1.76
319,38.841145,-122.826834,2011-06-13 10:39:21.600002,1.6
320,38.84372,-122.82587,2011-06-13 17:16:47.999998,1.77
321,38.839636,-122.828712,2011-06-15 04:37:55.199997,1.44
322,38.838529,-122.829177,2011-06-15 08:18:14.400002,1.38
323,38.841702,-122.82496,2011-06-19 18:00:00.000000,2.25
324,38.838951,-122.829083,2011-06-23 21:41:45.599998,3.16
325,38.838451,-122.829536,2011-06-23 21:43:12.000002,1.47
326,38.840765,-122.827755,2011-06-23 21:44:38.399996,1.76
327,38.845563,-122.824437,2011-07-04 11:39:50.400003,1.38
328,38.846917,-122.825158,2011-07-17 19:29:16.800003,1.41
329,38.847221,-122.825451,2011-07-17 19:30:43.199997,1.6
330,38.83799,-122.827685,2011-07-24 01:55:11.999996,1.38
331,38.838829,-122.830041,2011-08-13 06:38:52.800000,1.95
332,38.838524,-122.829033,2011-08-13 06:40:19.200004,1.68
333,38.841599,-122.827152,2011-08-13 23:03:50.400001,1.4
334,38.84292,-122.826791,2011-08-17 09:25:55.200003,1.43
335,38.838888,-122.82769,2011-08-17 23:36:57.600005,1.62
336,38.84267,-122.827588,2011-08-24 07:43:40.800004,1.39
337,38.842825,-122.826657,2011-08-26 15:02:52.799998,1.62
338,38.839793,-122.82884,2011-08-31 18:36:00.000002,1.94
339,38.842508,-122.827305,2011-09-01 05:45:35.999999,2.16
340,38.8363,-122.826915,2011-09-01 06:17:16.799999,1.61
341,38.844168,-122.824991,2011-09-01 13:00:28.800001,1.62
342,38.84452,-122.823864,2011-09-01 13:01:55.199995,1.56
343,38.839398,-122.82926,2011-09-02 16:06:14.399998,1.49
344,38.837855,-122.828699,2011-09-04 12:00:00.000000,1.39
345,38.846251,-122.824536,2011-09-05 20:42:43.200001,1.64
346,38.845769,-122.82402,2011-09-09 09:31:40.800000,1.46
347,38.848325,-122.82414,2011-09-12 01:37:55.199997,1.37
348,38.838806,-122.828519,2011-09-14 19:37:55.199997,1.77
349,38.83855,-122.829856,2011-09-16 17:15:21.600004,1.52
350,38.837792,-122.825601,2011-09-22 17:34:04.799997,1.75
351,38.839712,-122.828875,2011-09-24 16:13:26.399998,1.5
352,38.837889,-122.828947,2011-09-26 04:23:31.199997,2.29
353,38.844296,-122.823654,2011-09-27 11:42:43.200001,1.83
354,38.845587,-122.824585,2011-10-05 06:47:31.200005,2.09
355,38.83969,-122.827942,2011-10-07 05:52:48.000000,1.5
356,38.839574,-122.830113,2011-10-07 13:32:09.600001,2.01
357,38.846305,-122.823952,2011-10-08 20:02:23.999997,1.44
358,38.835742,-122.827564,2011-10-10 02:28:19.200000,1.72
359,38.839014,-122.829906,2011-10-11 13:13:26.399998,1.39
360,38.839229,-122.829812,2011-10-11 19:19:12.000004,2.14
361,38.839079,-122.828269,2011-10-12 02:49:55.200001,1.57
362,38.836981,-122.827938,2011-10-12 13:04:48.000004,1.77
363,38.835632,-122.828912,2011-10-14 02:15:21.600004,1.58
364,38.842253,-122.827804,2011-10-15 03:30:14.399996,1.5
365,38.83803,-122.826011,2011-10-17 15:59:02.399997,1.5
366,38.838327,-122.828304,2011-10-17 18:38:52.800000,1.38
367,38.84555,-122.824942,2011-10-19 09:28:48.000002,1.94
368,38.837425,-122.827758,2011-10-21 04:36:28.800003,1.5
369,38.842727,-122.827148,2011-10-21 09:24:28.799999,1.54
370,38.841782,-122.825163,2011-10-27 02:23:59.999998,1.54
371,38.8397,-122.828833,2011-10-31 21:23:02.399995,1.37
372,38.84151,-122.828707,2011-11-02 13:46:33.600002,1.42
373,38.838623,-122.829478,2011-11-02 17:22:33.600004,1.69
374,38.846475,-122.824683,2011-11-02 19:23:31.199997,1.84
375,38.843928,-122.82781,2011-11-04 05:11:02.400001,1.41
376,38.83981,-122.827758,2011-11-04 16:36:28.800003,1.37
377,38.836063,-122.828662,2011-11-05 08:29:45.600004,1.83
378,38.839313,-122.829429,2011-11-05 16:47:59.999996,2.14
379,38.843603,-122.827528,2011-11-06 11:05:16.800005,1.38
380,38.846001,-122.824115,2011-11-08 06:05:45.599996,1.44
381,38.839685,-122.829346,2011-11-09 14:41:16.799997,1.39
382,38.838111,-122.827565,2011-11-11 14:34:04.799997,1.81
383,38.837506,-122.827453,2011-11-11 15:54:43.199995,1.81
384,38.840459,-122.830582,2011-11-12 00:27:21.599998,1.48
385,38.838817,-122.828188,2011-11-12 01:22:04.800003,2.01
386,38.843653,-122.827589,2011-11-12 13:12:00.000004,1.41
387,38.838838,-122.828268,2011-11-13 01:26:24.000005,1.67
388,38.839236,-122.825983,2011-11-14 15:01:26.400004,1.54
389,38.843046,-122.828183,2011-11-15 13:50:52.800004,1.99
390,38.848951,-122.825146,2011-11-16 23:11:02.400001,1.85
391,38.842018,-122.827717,2011-11-19 06:38:52.800000,2.29
392,38.836292,-122.827374,2011-11-19 09:33:07.200004,1.97
393,38.839748,-122.829068,2011-11-19 21:46:04.800001,1.5
394,38.837372,-122.826217,2011-11-19 22:01:55.199995,1.62
395,38.843099,-122.829858,2011-11-20 12:02:52.799998,1.69
396,38.83985,-122.83008,2011-11-20 15:34:33.599998,1.37
397,38.836802,-122.826102,2011-11-24 15:08:38.400005,2.08
398,38.840158,-122.829739,2011-11-25 01:20:38.399998,1.61
399,38.840787,-122.829729,2011-11-25 01:24:57.600001,1.64
400,38.838965,-122.829737,2011-11-25 01:26:24.000005,1.69
401,38.842583,-122.824761,2011-11-25 19:30:43.199997,1.85
402,38.841943,-122.82853,2011-11-27 08:55:40.799998,1.47
403,38.842661,-122.827283,2011-11-27 20:15:21.600004,1.45
404,38.841356,-122.825631,2011-11-28 10:09:07.199996,1.84
405,38.839364,-122.826786,2011-11-29 01:14:52.800002,2.26
406,38.842343,-122.827889,2011-11-29 17:31:11.999998,1.41
407,38.844387,-122.827192,2011-11-30 08:21:07.200000,2.04
408,38.844888,-122.824786,2011-12-01 05:51:21.599995,1.57
409,38.845907,-122.825667,2011-12-03 10:59:31.199999,1.66
410,38.8441,-122.827986,2011-12-04 08:57:07.200002,2.0
411,38.84347,-122.827249,2011-12-04 10:49:26.400000,1.4
412,38.842609,-122.823271,2011-12-05 04:39:21.600002,1.99
413,38.847155,-122.824595,2011-12-05 12:40:19.200004,1.79
414,38.841879,-122.828749,2011-12-06 01:23:31.199997,2.08
415,38.843517,-122.828053,2011-12-06 01:32:09.600001,1.66
416,38.841403,-122.825866,2011-12-06 14:21:07.200000,1.49
417,38.841259,-122.830787,2011-12-06 18:43:12.000002,1.85
418,38.84256,-122.831712,2011-12-06 18:56:09.599999,2.25
419,38.838678,-122.829387,2011-12-06 21:28:48.000002,1.88
420,38.839063,-122.828029,2011-12-07 16:29:16.800003,2.12
421,38.846199,-122.824192,2011-12-09 05:31:11.999998,1.42
